APPLICATION;LINEIC_VOLUME_INTERNAL;MAX_TEST_PRESSURE;BENDING_STIFFNESS;FAT_DRUM_DIAMETER;SERVICE;ST_STORAGE_DRUM_DIAMETER;WATERTIGHTNESS;MANUFACTURING_ELONGATION_MIN;MANUFACTURING_ELONGATION_MAX;ENG_STORAGE_DRUM_DIAMETER;DOMAIN_ID;AFFAIRE;DIAINTERST;STRUCTURE;STRUCTURE_REVISION;CDC;CDC_STRUCTURE_REVISION;NOLIGNE;COUCHE;CODEOPERATION;CODEPREPARATION;OPERATION;LAYER_NAME;LAYER_TYPE_DESCRIPTION;LAYER_VARIETY_DESCRIPTION;DIAINTER;EP;ANGLE;NOMBREFIL;MASSECOUCHE;CODEMP;CODEMP_IFS;DESCRIPTIONMP;DESCRIPTIONMPN_2;EPMP;LARGMP;CODEPRODUITGENERIQUE;CODEPRODUITUSUEL;DIAINTERCOUCHE;DIAINTERCOUCHETOLINF;DIAINTERCOUCHETOLSUP;DIAEXTERCOUCHE;DIAEXTERCOUCHETOLSUP;DIAEXTERCOUCHETOLINF;DIAEXTERNONRETREINT;DIAEXTERTOLSUPNONRETREINT;DIAEXTERTOLINFNONRETREINT;EPCOUCHE;EPCOUCHETOLINF;EPCOUCHETOLSUP;ARMANGLE;DIAEXTERCLI;LGCLI;CLITOLINF;CLITOLSUP;DIAINTERCLE;LGCLE;CLETOLSUP;CLETOLINF;EPMAXICOUCHE;ARMPASRATIO;NOMAFFAIRE;CHAMP;INGENIEURAFF;DATELIVRAISON;MBR;PASNOMINAL;TOLPASNOMINAL;NBTOURCONTROLEPAS;COMMENTAIRES;MAN_LINEIC_OBJ_MPITCH;AVG_PITCH_MAN;AVG_PITCH_ENG
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;0;0;1.94;91;78033;6;ST15261797;0;;;1;PC;60;0;PROFILAGE CARCASSE;INTERLOCKED CARCASS;CARCASS;FEUILLARD;152.4;5;-88.15;1;11.6987;MP169;10100600;Feuillard inox 1,0* 48 AISI 316L FE02 EN 1.4404 ( ex MP169);;1;48;FI;FE02;152.4;-1.5;1.5;162.4;1.6;-1.6;162.4;1.6;-1.6;5;0;0;-88.15;150.9;152.4;0;0.5;164;152.4;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"
Jeffa PCRM7 ou Wynn'Draw sp30 ( LP851 )";15.935;15.935;15.935
;19.22;13327;85938.67553;3.9;Sweet;3.9;2;0;0;2.08;91;78033;6;ST15261797;0;;;2;GP;140;0;GAINAGE DE PRESSION;PRESSURE SHEATH;INTERNAL SHEATH;PRESSURE SHEATH;162.4;5.4;;1;2.8726;MP406;12000040;PE  CROSSFLEX                  TP10; ;;;PL;TP10;162.4;-1.6;1.6;173.2;2.1;-2.1;173.2;2.1;-2.1;5.4;-0.8;0.8;0;;;0;0.5;;;0;-0.5;7;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;0;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.34;91;78033;6;ST15261797;0;;;3;SFT;300;297;SPIRALAGE FILS TIRES;ZETA SPIRALLING;ZETA;ZETA;173.2;8;-87.45;2;30.1319;MP234;10800080;Fil zeta 8 - FM35 - FI09  KISWIRE  ( ex MP234);;8;0;FZ;FI09;173.2;-2.1;2.1;189.2;2.3;-2.3;189.2;2.3;-2.3;8;0;0.1;-87.45;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;253;2;20;;25.3;25.3;25.3
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.71;91;78033;6;ST15261797;0;;;4;F;340;337;FRETTAGE;FLAT SPIRALLING;FRETTE;PLATS HOMOGENS;189.2;5;87.49;2;20.0891;MP581;10404110;Fil plat 12 * 5 - FM35 - FI09 avec courant de Foucault  ( ex MP581);;5;12;FP;FI09;189.2;-2.3;2.3;199.2;2.5;-2.5;199.2;2.5;-2.5;5;-0.1;0.1;87.49;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;267;3;20;;26.76;26.7;26.76
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.7;91;78033;6;ST15261797;0;;;5;A1;420;0;ARMAGE 1;FIRST ARMOURING;BANDE ANTI FRICTION;BANDE ANTI-FRICTION;199.2;1.5;;1;0.9005;MP978;12600600;BANDE A-U  75*1,5MM  PIPELON   BF01; ;;;RU;BF01;199.2;-2.5;2.5;202.2;2.7;-2.7;202.2;2.7;-2.7;1.5;-0.1;0.1;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";173.1851;173.1851;173.1851
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.69;91;78033;6;ST15261797;0;;;6;A1;420;417;ARMAGE 1;FIRST ARMOURING;NAPPE 1;PLATS HOMOGENS;202.2;5;35;42;22.5676;MP581;10404110;Fil plat 12 * 5 - FM35 - FI09 avec courant de Foucault  ( ex MP581);;5;12;FP;FI09;202.2;-2.7;2.7;212.2;2.9;-2.9;212.2;2.9;-2.9;5;-0.1;0.1;35;;;0;0.5;;;0;-0.5;;1.0645;PETRONAS SEPAT;;EXPLOITATION;;2108;929.6;13.9;1;"Lubrification : VETO86 
";929.6358;929.6;929.6358
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.69;91;78033;6;ST15261797;0;;;7;A1;420;0;ARMAGE 1;FIRST ARMOURING;BANDE ANTI FRICTION;BANDE ANTI-FRICTION;212.2;1.5;;1;0.9588;MP978;12600600;BANDE A-U  75*1,5MM  PIPELON   BF01; ;;;RU;BF01;212.2;-2.9;2.9;215.2;3.1;-3.1;215.2;3.1;-3.1;1.5;-0.1;0.1;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";172.4195;172.4195;172.4195
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.68;91;78033;6;ST15261797;0;;;8;A1;420;417;ARMAGE 1;FIRST ARMOURING;NAPPE 2;PLATS HOMOGENS;215.2;5;-34.99;45;24.1769;MP581;10404110;Fil plat 12 * 5 - FM35 - FI09 avec courant de Foucault  ( ex MP581);;5;12;FP;FI09;215.2;-3.1;3.1;225.2;3.3;-3.3;225.2;3.3;-3.3;5;-0.1;0.1;-34.99;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;989.6;14.8;1;"Lubrification : VETO86 
";989.5973;989.6;989.5973
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;225.2;0.25;;1;0.1348;MP146;12500010;RUBAN ADHESIF 145  MM * 3000 M BA07;TSP 8983P - (3M);;;RU;BA07;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";137.5212;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;225.7;0.25;;1;0.1351;MP146;12500010;RUBAN ADHESIF 145  MM * 3000 M BA07;TSP 8983P - (3M);;;RU;BA07;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";137.5097;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;226.2;0.25;;1;0.1354;MP146;12500010;RUBAN ADHESIF 145  MM * 3000 M BA07;TSP 8983P - (3M);;;RU;BA07;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";137.4984;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;226.7;0.5;;1;0.1271;MP240;12600110;BANDE TISSEE KEVLAR R=230 DAN- BA01;/REF.9081 CHOMARAT LA:130MM/ 24GR/M;;;RU;BA01;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";134.8437;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;227.7;0.5;;1;0.1277;MP240;12600110;BANDE TISSEE KEVLAR R=230 DAN- BA01;/REF.9081 CHOMARAT LA:130MM/ 24GR/M;;;RU;BA01;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";134.8227;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;228.7;0.4;;1;0.1063;MP141;12600010;BANDE TISSEE  150  MM * 3000 M BA04;POLYESTER;;;RU;BA04;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";132.1739;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;2.67;91;78033;6;ST15261797;0;;;9;A1;420;0;ARMAGE 1;FIRST ARMOURING;HIGH STRENGTH;FABRIC TAPE;229.5;0.4;;1;0.1067;MP141;12600010;BANDE TISSEE  150  MM * 3000 M BA04;POLYESTER;;;RU;BA04;225.2;-3.3;3.3;230.3;3.3;-3.3;230.3;3.3;-3.3;2.55;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;"Lubrification : VETO86 
";132.1584;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;1;-0.005;0.015;3.05;91;78033;6;ST15261797;0;;;10;GSA;540;538;GAINAGE SUR ARMAGE;OVER ARMOUR LAYER SHEATH;INTERNAL SHEATH;INTERMEDIATE SHEATH;230.3;12;;1;8.6504;MP968;11800020;TP FLEX                   TP26/TP27; ;;;TP;TP26;230.3;-3.3;3.3;254.3;4.5;-4.5;254.3;4.5;-4.5;12;-1.7;1.7;0;;;0;0.5;;;0;-0.5;15.6;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;0;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.03;91;78033;6;ST15261797;0;;;11;FM1;580;577;FRETTAGE MOUSSE PASSAGE 1;INSULATION FOAM (1st);ISOLATION;ISOLATION;254.3;5.5;-82.54;1;2.2868;MP225;12800040;Bande mousse COFOAM L:50 E:5,5 MO01 Densité=0.54 g/ml TYPE PVC-C SOVEPLAST ( ex MP225);;5.5;50;BI;MO01;254.3;-4.5;4.5;276.3;6;-5.4;276.3;6;-5.4;11;-0.5;0.8;-82.54;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;320;5;6;;106.9064;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.03;91;78033;6;ST15261797;0;;;11;FM1;580;577;FRETTAGE MOUSSE PASSAGE 1;INSULATION FOAM (1st);ISOLATION;ISOLATION;265.3;5.5;-82.84;1;2.3837;MP225;12800040;Bande mousse COFOAM L:50 E:5,5 MO01 Densité=0.54 g/ml TYPE PVC-C SOVEPLAST ( ex MP225);;5.5;50;BI;MO01;254.3;-4.5;4.5;276.3;6;-5.4;276.3;6;-5.4;11;-0.5;0.8;-82.84;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;320;5;6;;106.8334;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.01;91;78033;6;ST15261797;0;;;12;FM2;660;657;FRETTAGE MOUSSE PASSAGE 2;INSULATION FOAM (2nd);ISOLATION;ISOLATION;276.3;5.5;83.12;1;2.4805;MP225;12800040;Bande mousse COFOAM L:50 E:5,5 MO01 Densité=0.54 g/ml TYPE PVC-C SOVEPLAST ( ex MP225);;5.5;50;BI;MO01;276.3;-5.4;6;298.3;7.5;-6.3;298.3;7.5;-6.3;11;-0.5;0.8;83.12;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;320;5;6;;106.7689;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.01;91;78033;6;ST15261797;0;;;12;FM2;660;657;FRETTAGE MOUSSE PASSAGE 2;INSULATION FOAM (2nd);ISOLATION;ISOLATION;287.3;5.5;83.38;1;2.5773;MP225;12800040;Bande mousse COFOAM L:50 E:5,5 MO01 Densité=0.54 g/ml TYPE PVC-C SOVEPLAST ( ex MP225);;5.5;50;BI;MO01;276.3;-5.4;6;298.3;7.5;-6.3;298.3;7.5;-6.3;11;-0.5;0.8;83.38;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;320;5;6;;106.7117;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.01;91;78033;6;ST15261797;0;;;13;FM2;660;0;FRETTAGE MOUSSE PASSAGE 2;INSULATION FOAM (2nd);FABRIC TAPE;FABRIC TAPE;298.3;0.1;;1;0.1514;MP364;12600250;TERPHANE 150 MM* 1500 M  EP:0,1 MM;MANDRIN  76MM;;;RU;ADHE;298.3;-6.3;7.5;300.6;7.5;-6.3;300.6;7.5;-6.3;1.15;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;131.2683;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.01;91;78033;6;ST15261797;0;;;13;FM2;660;0;FRETTAGE MOUSSE PASSAGE 2;INSULATION FOAM (2nd);FABRIC TAPE;FABRIC TAPE;298.5;0.25;;1;0.1787;MP146;12500010;RUBAN ADHESIF 145  MM * 3000 M BA07;TSP 8983P - (3M);;;RU;BA07;298.3;-6.3;7.5;300.6;7.5;-6.3;300.6;7.5;-6.3;1.15;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;136.4186;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.01;91;78033;6;ST15261797;0;;;13;FM2;660;0;FRETTAGE MOUSSE PASSAGE 2;INSULATION FOAM (2nd);FABRIC TAPE;FABRIC TAPE;299;0.4;;1;0.1389;MP141;12600010;BANDE TISSEE  150  MM * 3000 M BA04;POLYESTER;;;RU;BA04;298.3;-6.3;7.5;300.6;7.5;-6.3;300.6;7.5;-6.3;1.15;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;131.2597;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;0;-0.005;0.015;3.01;91;78033;6;ST15261797;0;;;13;FM2;660;0;FRETTAGE MOUSSE PASSAGE 2;INSULATION FOAM (2nd);FABRIC TAPE;FABRIC TAPE;299.8;0.4;;1;0.1393;MP141;12600010;BANDE TISSEE  150  MM * 3000 M BA04;POLYESTER;;;RU;BA04;298.3;-6.3;7.5;300.6;7.5;-6.3;300.6;7.5;-6.3;1.15;0;0;0;;;0;0.5;;;0;-0.5;;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;131.2529;0;0
;19.22;13327;85938.67553;3.9;Sweet;3.9;1;-0.005;0.01;3.9;91;78033;6;ST15261797;0;;;14;GEX;780;778;GAINAGE EXTERIEUR;EXTERNAL SHEATH;EXTERNAL SHEATH;EXTERNE;300.6;12;;1;11.1602;MP968;11800020;TP FLEX                   TP26/TP27; ;;;TP;TP26;300.6;-6.3;7.5;324.6;8.7;-7.5;324.6;8.7;-7.5;12;-2;2;0;;;0;0.5;;;0;-0.5;16.2;;PETRONAS SEPAT;;EXPLOITATION;;2108;0;0;0;;0;0;0
